#  ID	"RA	"	DEC	MAG_F160W	MAGERR_F160W	FWHM	STELLARITY	ELLIPTICITY	THETA	Z_BPZ	ZMIN_BPZ	ZMAX_BPZ	ODDS_BPZ	CHISQ2_BPZ	STAR	WEIGHT	NRS_F110W	NRS_F140X	NRS_CLEAR	REFERENCE
3740	53.16054039	-27.79774121	29.213	0.228	6.21	0.71	0.267	-87.6	7.23	6.58	7.79	0.899	0.363	0	300	29.187	28.92	29.213	TRUE
22485	53.17103742	-27.78765924	27.903	0.068	9.35	0.15	0.109	-78.6	7.281	6.89	7.66	0.989	0.322	0	300	28.108	27.783	27.903	FALSE
9224	53.16553235	-27.77259145	28.455	0.095	7.77	0.09	0.193	-35.9	7.21	6.6	7.66	0.932	0.229	0	300	28.753	28.485	28.455	FALSE
9379	53.17951708	-27.7743657	28.556	0.112	5.64	0.08	0.421	13	7.77	1.5	8.3	0.85	0.213	0	300	29.578	28.798	28.556	FALSE
22560	53.16481105	-27.78819065	27.392	0.038	11.84	0.08	0.283	35.4	7.49	7.06	7.91	0.983	0.243	0	300	28.155	27.485	27.392	FALSE
2909	53.15281801	-27.80187458	28.8	0.195	6.78	0.05	0.188	64.1	7.48	6.64	8.07	0.857	0.46	0	300	29.285	28.9	28.8	FALSE
10151	53.13803233	-27.78178122	28.511	0.118	9.87	0.03	0.365	-84.1	7.38	6.71	7.91	0.904	1.058	0	300	28.943	28.142	28.511	FALSE
23381	53.15704687	-27.79505894	28.621	0.139	7.33	0.02	0.398	-14.5	7.979	7.49	8.44	0.976	1.954	0	300	29.252	27.937	28.621	FALSE
8876	53.15983101	-27.76996487	27.925	0.064	14.08	0.01	0.106	-8.5	7.16	6.4	7.55	0.867	0.91	0	300	28.224	28.009	27.925	FALSE
7727	53.16948147	-27.78050395	29.215	0.202	8.51	0.01	0.108	-42.9	7.098	6.5	7.67	0.905	0.748	0	300	29.167	28.849	29.215	FALSE
8030	53.15889276	-27.76500302	27.707	0.049	13.89	0	0.134	65.1	8.309	7.85	8.76	0.985	0.094	0	300	29.605	27.777	27.707	FALSE
8457	53.15680338	-27.76708495	28.123	0.07	11.64	0	0.16	22.7	8.255	7.75	8.74	0.976	0.212	0	300	29.928	28.233	28.123	FALSE
8328	53.15749237	-27.76669983	27.322	0.063	14.88	0	0.367	-79.6	8.123	7.63	8.59	0.978	0.552	0	300	28.611	27.264	27.322	FALSE
4799	53.16466821	-27.78816746	27.279	0.042	26.97	0	0.437	50.4	7.672	7.24	8.09	0.986	0.04	0	300	28.293	27.385	27.279	FALSE
2923	53.15505721	-27.80170268	27.654	0.053	14.44	0	0.262	-25.8	7.614	7.15	8.03	0.981	0.033	0	300	28.3	27.633	27.654	FALSE
8483	53.17865755	-27.77625221	27.791	0.057	15.77	0	0.352	-57.8	7.576	7.08	8.05	0.966	0.454	0	300	28.661	28.038	27.791	FALSE
9399	53.17973896	-27.77457555	27.497	0.044	16.95	0	0.154	-27.8	7.57	7.12	8.01	0.98	0.112	0	300	28.355	27.483	27.497	FALSE
9829	53.18625933	-27.77896895	24.87	0.033	21.36	0	0.254	-23.8	7.528	7.15	7.9	0.993	0.679	0	300	25.27	24.672	24.87	FALSE
22240	53.16168604	-27.78531972	26.605	0.02	14.56	0	0.158	1.4	7.465	7.08	7.85	0.993	0.021	0	300	27.405	26.662	26.605	FALSE
5173	53.20799006	-27.78997657	26.089	0.258	10.98	0	0.263	84.4	7.242	6.87	7.6	0.993	3.065	0	300	25.894	-99	26.089	FALSE
7942	53.18461744	-27.77921056	26.513	0.085	12.25	0	0.226	59.4	7.231	6.87	7.58	0.995	1.411	0	300	26.338	26.363	26.513	FALSE
5944	53.14387174	-27.79332652	26.484	0.017	18.7	0	0.139	80.7	7.216	6.86	7.56	0.995	37.064	0	300	27.387	30.733	26.484	FALSE
5638	53.17734975	-27.7920584	27.068	0.043	17.96	0	0.304	-88.3	7.072	6.62	7.5	0.974	0.062	0	300	27.438	27.12	27.068	FALSE
7313	53.17734211	-27.78239222	25.819	0.015	31.9	0	0.485	32.3	7.031	6.65	7.39	0.992	0.106	0	300	26.08	25.824	25.819	FALSE
23328	53.15748719	-27.79456625	28.226	0.084	7.54	0.01	0.455	-47.8	7.018	6.55	7.48	0.961	0.923	0	300	28.564	28.43	28.226	FALSE
1021	53.15532196	-27.81516022	25.297	0.033	18.04	0	0.294	33	6.954	6.6	7.3	0.995	0.229	0	300	25.698	-99	25.297	FALSE
9298	53.17675985	-27.77341049	28.856	0.137	13.02	0.02	0.615	32	6.871	6.31	7.39	0.922	0.44	0	300	28.897	28.942	28.856	FALSE
9130	53.16666582	-27.77209292	27.98	0.196	8.43	0.13	0.206	19.3	6.86	6.37	7.28	0.963	0.467	0	300	27.889	28.1	27.98	FALSE
10032	53.14175556	-27.78067604	28.036	0.113	11.9	0	0.089	5.4	6.86	6.29	7.34	0.926	0.928	0	300	28.059	27.76	28.036	FALSE
23762	53.1560141	-27.78090617	27.33	0.073	7.78	0.18	0.173	-44.7	6.855	6.49	7.21	0.991	0.056	0	300	27.257	27.282	27.33	FALSE
5903	53.15816044	-27.79323704	28.165	0.092	24.24	0	0.681	-87.1	6.803	6.37	7.22	0.973	2.337	0	300	28.215	28.437	28.165	FALSE
9768	53.16902736	-27.7787638	28.041	0.072	15.08	0	0.143	-48.1	6.787	6.41	7.15	0.989	0.179	0	300	27.964	27.984	28.041	FALSE
4166	53.16562375	-27.79587255	28.733	0.136	9.86	0.73	0.118	-76.4	6.743	6.22	7.26	0.926	0.649	0	300	28.904	28.826	28.733	TRUE
9976	53.14403028	-27.78036021	29.263	0.206	7.82	0.73	0.265	-19.4	6.74	0.94	7.71	0.526	0.677	0	300	29.557	29.012	29.263	TRUE
7121	53.15512653	-27.76065694	27.081	0.095	13	0	0.394	-47.9	6.729	6.37	7.07	0.992	0.057	0	300	27.051	27.038	27.081	FALSE
6846	53.17332016	-27.78457397	28.164	0.085	14.35	0	0.294	-31.8	6.726	6.3	7.13	0.975	0.234	0	300	28.133	28.022	28.164	FALSE
9378	53.17579555	-27.77439396	27.418	0.045	19.93	0	0.166	53.4	6.718	6.33	7.09	0.987	0.015	0	300	27.45	27.427	27.418	FALSE
4736	53.15157263	-27.78784189	27.904	0.064	15.17	0	0.028	34.4	6.713	6.28	7.12	0.973	0.387	0	300	27.893	27.735	27.904	FALSE
24888	53.15099932	-27.77538282	26.572	0.019	10.58	0	0.09	22.2	6.684	6.34	7.03	0.992	0.237	0	300	27.248	26.739	26.572	FALSE
10267	53.14553303	-27.78372112	27.9	0.029	19.94	0	0.145	-2.5	6.679	6.32	7.02	0.992	0.219	0	300	27.872	27.814	27.9	FALSE
8846	53.1742605	-27.76979033	28.373	0.089	12.88	0	0.245	-24.9	6.677	6.16	7.22	0.917	0.264	0	300	28.75	28.375	28.373	FALSE
4771	53.12729111	-27.78797038	27.552	0.29	6.02	0.48	0.033	-23.7	6.674	6.23	7.08	0.97	0.306	0	300	27.512	-99	27.552	FALSE
23356	53.1592714	-27.79483004	28.476	0.134	5.91	0.01	0.378	0	6.671	6.25	7.09	0.97	5.877	0	300	28.492	29.213	28.476	FALSE
9557	53.17443792	-27.77561109	28.167	0.171	10.22	0.09	0.193	-80.5	6.65	6.1	7.16	0.916	0.368	0	300	28.099	28.289	28.167	FALSE
7408	53.1607814	-27.78113866	29.032	0.164	10.07	0.03	0.05	73.5	6.648	6.2	7.1	0.96	0.985	0	300	28.816	28.941	29.032	FALSE
9311	53.15564415	-27.77349348	27.583	0.198	13.28	0	0.674	-38.2	6.63	0.88	7.1	0.808	0.696	0	300	27.483	27.311	27.583	FALSE
4915	53.15557658	-27.78866151	27.469	0.134	11.67	0	0.104	63.3	6.608	6.16	7.05	0.959	0.278	0	300	27.409	27.474	27.469	FALSE
9526	53.16658349	-27.77232782	28.001	0.067	16.3	0	0.185	-64.3	6.602	6.17	7.02	0.969	1.832	0	300	28.083	28.045	28.001	FALSE
10155	53.16491897	-27.782355	27.682	0.059	19.49	0	0.351	-31.5	6.592	6.2	6.97	0.983	0.411	0	300	27.72	27.652	27.682	FALSE
2450	53.15836534	-27.80430047	28.822	0.141	11.52	0	0.259	38.1	6.59	1.09	7.2	0.824	1.063	0	300	28.985	28.971	28.822	FALSE
3578	53.1532215	-27.7982188	27.555	0.05	17.86	0	0.166	-53.1	6.58	6.22	6.93	0.99	0.316	0	300	27.511	27.655	27.555	FALSE
7927	53.18641912	-27.77914787	29.017	0.174	10.41	0.48	0.458	81.5	6.57	0.96	7.75	0.479	0.676	0	300	29.454	28.824	29.017	FALSE
7978	53.1531221	-27.77909027	27.974	0.11	13.98	0.01	0.505	-78.8	6.554	6.1	7.03	0.949	0.259	0	300	28.246	28.122	27.974	FALSE
8069	53.15216123	-27.77832719	28.863	0.141	12.78	0	0.231	-59	6.551	6.14	6.96	0.973	0.102	0	300	28.612	28.709	28.863	FALSE
8398	53.15816434	-27.76723291	29.23	0.279	7.37	0.15	0.234	49.3	6.53	0.57	7.22	0.502	1.036	0	300	29.01	28.863	29.23	FALSE
6456	53.16153898	-27.78625609	29.181	0.189	10.11	0.69	0.041	81.4	6.528	6.1	6.95	0.965	0.189	0	300	28.868	29.163	29.181	TRUE
20309	53.16691677	-27.81874945	27.564	0.118	3.41	0.63	0.185	-16.1	6.526	6.16	6.88	0.989	1.51	0	300	27.925	-99	27.564	FALSE
2719	53.16728262	-27.80279924	28.652	0.185	10.14	0	0.293	-59.8	6.51	0.98	6.96	0.869	0.521	0	300	28.635	28.433	28.652	FALSE
3075	53.1783223	-27.80090326	27.811	0.238	10.5	0.03	0.161	68.7	6.493	6.09	6.86	0.98	0.322	0	300	27.494	-99	27.811	FALSE
8761	53.1628607	-27.76921076	29.806	0.361	0	0.36	0.317	-39	6.474	5.99	6.95	0.939	0.552	0	300	29.039	29.348	29.806	FALSE
5291	53.14602056	-27.79050456	28.206	0.083	15.76	0	0.383	86.8	6.471	6.09	6.84	0.984	0.247	0	300	28.168	28.171	28.206	FALSE
8006	53.16910001	-27.76583477	28.867	0.144	9.97	0.01	0.218	-2.2	6.455	6.02	6.88	0.964	0.094	0	300	28.721	28.779	28.867	FALSE
9104	53.16598287	-27.77191567	28.709	0.122	12.89	0	0.41	21.1	6.453	6	6.89	0.957	0.245	0	300	28.68	28.898	28.709	FALSE
7894	53.16615975	-27.76428237	29.284	0.202	6.95	0.81	0.203	-50.6	6.45	5.75	6.98	0.887	1.047	0	300	29.126	28.984	29.284	TRUE
8356	53.17462969	-27.77665126	29.666	0.292	8.79	0.08	0.23	22.6	6.45	5.66	7.07	0.843	0.178	0	300	29.334	29.335	29.666	FALSE
4582	53.16191984	-27.7869916	26.333	0.023	11.6	0	0.024	-68.3	6.447	6.11	6.77	0.994	1.236	0	300	26.902	26.275	26.333	FALSE
